2026-07-05 17:52:03 | INFO     | scraper | Waiting 10 s for manual CAPTCHA solving …
2026-07-05 17:52:25 | DEBUG    | scraper | Opened comments via '[data-e2e="comment-count"]'.
2026-07-05 17:52:28 | DEBUG    | scraper | Found 4 comment wrappers.
2026-07-05 17:53:08 | INFO     | scraper | Video scraped: 7645170711409069343 —  plays, 138 likes, 4 comments.
2026-07-05 17:53:08 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7645170711409069343.json
2026-07-05 17:53:09 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-05 17:53:09 | INFO     | scraper | TikTokScraper stopped.
2026-07-06 11:11:44 | INFO     | scraper | Starting TikTokScraper …
2026-07-06 11:11:47 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-06 11:11:47 | INFO     | scraper | Browser context created.
2026-07-06 11:11:47 | INFO     | scraper | Scraping video: https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:11:47 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:12:03 | DEBUG    | scraper | Opened comments via '[data-e2e="comment-count"]'.
2026-07-06 11:12:07 | DEBUG    | scraper | Found 10 comment wrappers.
2026-07-06 11:12:47 | INFO     | scraper | Video scraped: 7650112515153595670 —  plays, 1685 likes, 0 comments.
2026-07-06 11:12:47 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\video_7650112515153595670.json
2026-07-06 11:12:47 | INFO     | scraper | Session saved to tiktok_session.json
2026-07-06 11:12:47 | INFO     | scraper | TikTokScraper stopped.
2026-07-06 11:13:40 | INFO     | scraper | Starting TikTokScraper …
2026-07-06 11:13:40 | INFO     | scraper | Loaded saved session from tiktok_session.json
2026-07-06 11:13:40 | INFO     | scraper | Browser context created.
2026-07-06 11:13:40 | INFO     | scraper | Scraping video: https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:13:41 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@sagacity698/video/7650112515153595670
2026-07-06 11:13:53 | DEBUG    | scraper | Opened comments via '[data-e2e="comment-count"]'.
